Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-02-10 19:12,GOLD FLIP,1.18908,2000,2378.26,-0.04,0.00,0.14,0.81,0.03,-0.33,-0.01,-0.04,0.00,3
1,Entry short,2026-02-10 19:03,GOLD SELL,1.18913,2000,2378.26,-0.04,0.00,0.14,0.81,0.03,-0.33,-0.01,-0.04,0.00,3
2,Exit long,2026-02-11 05:33,GOLD FLIP,1.19123,2000,2378.16,4.16,0.17,0.14,4.89,0.21,-1.01,-0.04,4.12,0.41,207
2,Entry long,2026-02-10 19:12,GOLD BUY,1.18908,2000,2378.16,4.16,0.17,0.14,4.89,0.21,-1.01,-0.04,4.12,0.41,207
3,Exit short,2026-02-11 19:03,GOLD FLIP,1.1882,2000,2382.46,5.92,0.25,0.14,15.77,0.66,-3.09,-0.13,10.04,1.00,270
3,Entry short,2026-02-11 05:33,GOLD SELL,1.19123,2000,2382.46,5.92,0.25,0.14,15.77,0.66,-3.09,-0.13,10.04,1.00,270
4,Exit long,2026-02-13 19:03,GOLD FLIP,1.18727,2000,2376.4,-1.95,-0.08,0.09,1.57,0.07,-7.05,-0.30,7.88,0.79,960
4,Entry long,2026-02-11 19:03,GOLD BUY,1.1882,2000,2376.4,-1.95,-0.08,0.09,1.57,0.07,-7.05,-0.30,7.88,0.79,960
5,Exit long,2026-02-13 19:03,GOLD FLIP,1.18727,2000,2372.42,2.03,0.09,0.09,5.55,0.23,-3.07,-0.13,9.99,1.00,760
5,Entry long,2026-02-12 05:03,GOLD BUY,1.18621,2000,2372.42,2.03,0.09,0.09,5.55,0.23,-3.07,-0.13,9.99,1.00,760
6,Exit long,2026-02-13 19:03,GOLD FLIP,1.18727,2000,2372.28,2.17,0.09,0.09,4.55,0.19,-2.93,-0.12,12.23,1.22,480
6,Entry long,2026-02-12 19:03,GOLD BUY,1.18614,2000,2372.28,2.17,0.09,0.09,4.55,0.19,-2.93,-0.12,12.23,1.22,480
7,Exit long,2026-02-13 19:03,GOLD FLIP,1.18727,2000,2371.98,2.47,0.10,0.09,4.85,0.20,-2.63,-0.11,14.77,1.48,279
7,Entry long,2026-02-13 05:06,GOLD BUY,1.18599,2000,2371.98,2.47,0.10,0.09,4.85,0.20,-2.63,-0.11,14.77,1.48,279
8,Exit short,2026-02-16 00:03,GOLD FLIP,1.18661,2000,2374.54,1.18,0.05,0.14,1.91,0.08,-0.83,-0.03,15.95,1.60,99
