Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2304.56,-3.36,-0.15,0.08,4.57,0.20,-11.11,-0.48,-3.71,-0.37,1439
1,Entry short,2026-06-08 01:03,GOLD SELL,1.15228,2000,2304.56,-3.36,-0.15,0.08,4.57,0.20,-11.11,-0.48,-3.71,-0.37,1439
2,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2306.92,-1,-0.04,0.08,6.93,0.30,-8.75,-0.38,-4.64,-0.46,1338
2,Entry short,2026-06-08 06:06,GOLD SELL,1.15346,2000,2306.92,-1,-0.04,0.08,6.93,0.30,-8.75,-0.38,-4.64,-0.46,1338
3,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2306.62,-1.3,-0.06,0.08,1.51,0.07,-9.05,-0.39,-5.87,-0.59,1059
3,Entry short,2026-06-08 20:03,GOLD SELL,1.15331,2000,2306.62,-1.3,-0.06,0.08,1.51,0.07,-9.05,-0.39,-5.87,-0.59,1059
4,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2309.78,1.86,0.08,0.08,4.67,0.20,-4.95,-0.21,-3.95,-0.39,579
4,Entry short,2026-06-09 20:03,GOLD SELL,1.15489,2000,2309.78,1.86,0.08,0.08,4.67,0.20,-4.95,-0.21,-3.95,-0.39,579
5,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2310.56,2.64,0.11,0.08,5.45,0.24,-4.17,-0.18,-1.24,-0.12,369
5,Entry short,2026-06-10 06:36,GOLD SELL,1.15528,2000,2310.56,2.64,0.11,0.08,5.45,0.24,-4.17,-0.18,-1.24,-0.12,369
6,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2309.44,1.52,0.07,0.08,4.33,0.19,-0.21,-0.01,0.35,0.03,100
6,Entry short,2026-06-10 20:03,GOLD SELL,1.15472,2000,2309.44,1.52,0.07,0.08,4.33,0.19,-0.21,-0.01,0.35,0.03,100
7,Exit long,2026-06-11 20:03,GOLD FLIP,1.15652,2000,2307.84,5.06,0.22,0.14,5.39,0.23,-7.35,-0.32,5.41,0.54,380
7,Entry long,2026-06-11 01:03,GOLD BUY,1.15392,2000,2307.84,5.06,0.22,0.14,5.39,0.23,-7.35,-0.32,5.41,0.54,380
8,Exit short,2026-06-12 06:51,GOLD FLIP,1.15605,2000,2313.04,0.85,0.04,0.09,0.89,0.04,-4.95,-0.21,6.12,0.61,216
8,Entry short,2026-06-11 20:03,GOLD SELL,1.15652,2000,2313.04,0.85,0.04,0.09,0.89,0.04,-4.95,-0.21,6.12,0.61,216
9,Exit short,2026-06-12 06:51,GOLD FLIP,1.15605,2000,2314.84,2.65,0.11,0.09,2.69,0.12,-3.15,-0.14,8.83,0.88,212
9,Entry short,2026-06-11 20:15,GOLD SELL,1.15742,2000,2314.84,2.65,0.11,0.09,2.69,0.12,-3.15,-0.14,8.83,0.88,212
10,Exit short,2026-06-12 06:51,GOLD FLIP,1.15605,2000,2315.12,2.93,0.13,0.09,2.97,0.13,-2.87,-0.12,11.83,1.18,210
10,Entry short,2026-06-11 20:21,GOLD SELL,1.15756,2000,2315.12,2.93,0.13,0.09,2.97,0.13,-2.87,-0.12,11.83,1.18,210
11,Exit long,2026-06-12 20:03,GOLD FLIP,1.1577,2000,2312.1,3.16,0.14,0.14,5.73,0.25,-0.75,-0.03,14.99,1.50,264
11,Entry long,2026-06-12 06:51,GOLD BUY,1.15605,2000,2312.1,3.16,0.14,0.14,5.73,0.25,-0.75,-0.03,14.99,1.50,264
12,Exit short,2026-06-15 20:06,GOLD FLIP,1.15921,2000,2315.4,-3.11,-0.13,0.09,2.01,0.09,-9.09,-0.39,11.74,1.17,480
12,Entry short,2026-06-12 20:03,GOLD SELL,1.1577,2000,2315.4,-3.11,-0.13,0.09,2.01,0.09,-9.09,-0.39,11.74,1.17,480
13,Exit short,2026-06-15 20:06,GOLD FLIP,1.15921,2000,2321.22,2.71,0.12,0.09,3.13,0.13,-3.27,-0.14,14.51,1.45,381
13,Entry short,2026-06-15 01:03,GOLD SELL,1.16061,2000,2321.22,2.71,0.12,0.09,3.13,0.13,-3.27,-0.14,14.51,1.45,381
14,Exit short,2026-06-15 20:06,GOLD FLIP,1.15921,2000,2322.92,4.41,0.19,0.09,4.83,0.21,-1.57,-0.07,18.99,1.90,281
14,Entry short,2026-06-15 06:03,GOLD SELL,1.16146,2000,2322.92,4.41,0.19,0.09,4.83,0.21,-1.57,-0.07,18.99,1.90,281
15,Exit long,2026-06-16 20:06,GOLD FLIP,1.16129,2000,2318.42,4.06,0.17,0.11,5.47,0.24,-3.51,-0.15,22.98,2.30,479
15,Entry long,2026-06-15 20:06,GOLD BUY,1.15921,2000,2318.42,4.06,0.17,0.11,5.47,0.24,-3.51,-0.15,22.98,2.30,479
16,Exit long,2026-06-16 20:06,GOLD FLIP,1.16129,2000,2315.24,7.24,0.31,0.11,8.65,0.37,-0.33,-0.01,30.28,3.03,264
16,Entry long,2026-06-16 06:54,GOLD BUY,1.15762,2000,2315.24,7.24,0.31,0.11,8.65,0.37,-0.33,-0.01,30.28,3.03,264
17,Exit short,2026-06-17 20:03,GOLD FLIP,1.1528,2000,2322.58,16.84,0.73,0.14,16.91,0.73,-0.83,-0.04,47.12,4.71,479
17,Entry short,2026-06-16 20:06,GOLD SELL,1.16129,2000,2322.58,16.84,0.73,0.14,16.91,0.73,-0.83,-0.04,47.12,4.71,479
18,Exit long,2026-06-19 20:03,GOLD FLIP,1.14779,2000,2305.6,-10.1,-0.44,0.08,0.37,0.02,-22.11,-0.96,36.74,3.67,960
18,Entry long,2026-06-17 20:03,GOLD BUY,1.1528,2000,2305.6,-10.1,-0.44,0.08,0.37,0.02,-22.11,-0.96,36.74,3.67,960
