Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-02-10 19:15,TP,1.1891,1000,1189.08,-0.05,0.00,0.07,0,0.00,-0.16,-0.01,-0.05,-0.01,1
1,Entry long,2026-02-10 19:12,B6 0.5x,1.18908,1000,1189.08,-0.05,0.00,0.07,0,0.00,-0.16,-0.01,-0.05,-0.01,1
2,Exit long,2026-02-11 13:39,TP,1.18721,5000,5922.05,13.65,0.23,0.35,13.83,0.23,-5.67,-0.10,13.6,2.72,2
2,Entry long,2026-02-11 13:33,B8 2.5x,1.18441,5000,5922.05,13.65,0.23,0.35,13.83,0.23,-5.67,-0.10,13.6,2.72,2
3,Exit short,2026-02-12 13:36,TP,1.18843,2000,2375.94,-1.06,-0.04,0.14,0.17,0.01,-0.99,-0.04,12.54,2.51,1
3,Entry short,2026-02-12 13:33,B6 1x,1.18797,2000,2375.94,-1.06,-0.04,0.14,0.17,0.01,-0.99,-0.04,12.54,2.51,1
4,Exit short,2026-02-16 08:06,TP,1.18664,8000,9495.92,2.24,0.02,0.56,2.52,0.03,-0.68,-0.01,14.78,2.96,0
4,Entry short,2026-02-16 08:06,B7 4x,1.18699,8000,9495.92,2.24,0.02,0.56,2.52,0.03,-0.68,-0.01,14.78,2.96,0
5,Exit long,2026-02-17 07:03,TP,1.18417,4000,4735.92,0.48,0.01,0.28,0.62,0.01,-0.66,-0.01,15.26,3.05,0
5,Entry long,2026-02-17 07:03,B7 2x,1.18398,4000,4735.92,0.48,0.01,0.28,0.62,0.01,-0.66,-0.01,15.26,3.05,0
6,Exit short,2026-02-17 13:54,TP,1.18223,4000,4730.28,1.08,0.02,0.28,1.22,0.03,-0.38,-0.01,16.34,3.27,0
6,Entry short,2026-02-17 13:54,B6 2x,1.18257,4000,4730.28,1.08,0.02,0.28,1.22,0.03,-0.38,-0.01,16.34,3.27,0
